			Student Id,Country Code,Enrolled Year,Age,Gender,			Experienced,Course Code,Engagement Month,Engagement Year,			Engagement Type

1,IN,5,2022,23,F,false,JMC,SEPTEMBER,2023,Lecture 11
1,IN,5,2022,23,F,false,PYC,JUNE,2022,Lecture 10
2,IN,3,2018,65,F,true,JMC,MAY,2019,Lecture 1
2,IN,3,2018,65,F,true,PYC,DECEMBER,2021,Lecture 5
3,CN,2,2019,60,F,true,JMC,JUNE,2021,Lecture 6
3,CN,2,2019,60,F,true,PYC,FEBRUARY,2023,Lecture 6
4,CN,10,2016,66,M,false,JMC,FEBRUARY,2020,Lecture 14
4,CN,10,2016,66,M,false,PYC,JANUARY,2022,Lecture 10
5,CN,8,2017,72,U,false,JMC,NOVEMBER,2023,Lecture 12
5,CN,8,2017,72,U,false,PYC,JULY,2018,Lecture 1
6,GB,8,2021,76,M,true,JMC,OCTOBER,2022,Lecture 3
6,GB,8,2021,76,M,true,PYC,SEPTEMBER,2022,Lecture 6
7,GB,4,2021,32,U,false,JMC,SEPTEMBER,2021,Lecture 11
7,GB,4,2021,32,U,false,PYC,MARCH,2023,Lecture 11
8,AU,5,2017,19,U,true,JMC,NOVEMBER,2019,Lecture 14
8,AU,5,2017,19,U,true,PYC,JUNE,2017,Lecture 14
9,GB,4,2022,49,M,false,JMC,MAY,2022,Lecture 12
9,GB,4,2022,49,M,false,PYC,JULY,2022,Lecture 3
10,CN,11,2018,45,F,true,JMC,AUGUST,2021,Lecture 12
10,CN,11,2018,45,F,true,PYC,APRIL,2019,Lecture 4
11,GB,10,2020,56,M,false,JMC,FEBRUARY,2022,Lecture 5
11,GB,10,2020,56,M,false,PYC,MAY,2021,Lecture 8
12,IN,5,2020,22,F,true,JMC,APRIL,2020,Lecture 2
12,IN,5,2020,22,F,true,PYC,JUNE,2020,Lecture 11
13,GB,5,2018,75,M,false,JMC,NOVEMBER,2022,Lecture 4
13,GB,5,2018,75,M,false,PYC,NOVEMBER,2023,Lecture 10
14,GB,9,2019,22,F,false,JMC,NOVEMBER,2020,Lecture 11
14,GB,9,2019,22,F,false,PYC,APRIL,2020,Lecture 13
15,CN,8,2017,48,F,false,JMC,NOVEMBER,2023,Lecture 2
15,CN,8,2017,48,F,false,PYC,JANUARY,2023,Lecture 9
16,GB,1,2021,33,F,true,JMC,AUGUST,2023,Lecture 6
16,GB,1,2021,33,F,true,PYC,SEPTEMBER,2021,Lecture 5
17,GB,2,2018,81,F,true,JMC,SEPTEMBER,2018,Lecture 7
17,GB,2,2018,81,F,true,PYC,DECEMBER,2018,Lecture 12
18,US,6,2021,66,U,true,JMC,JULY,2023,Lecture 2
18,US,6,2021,66,U,true,PYC,SEPTEMBER,2023,Lecture 5
19,CN,8,2022,58,U,false,JMC,FEBRUARY,2022,Lecture 3
19,CN,8,2022,58,U,false,PYC,APRIL,2022,Lecture 14
20,CN,8,2023,58,M,false,JMC,NOVEMBER,2023,Lecture 7
20,CN,8,2023,58,M,false,PYC,APRIL,2023,Lecture 13
21,GB,8,2015,84,U,false,JMC,JULY,2018,Lecture 5
21,GB,8,2015,84,U,false,PYC,MAY,2023,Lecture 5
22,GB,9,2015,43,U,false,JMC,JANUARY,2015,Lecture 4
22,GB,9,2015,43,U,false,PYC,JUNE,2023,Lecture 12
23,AU,3,2019,88,U,true,JMC,APRIL,2023,Lecture 4
23,AU,3,2019,88,U,true,PYC,JULY,2019,Lecture 6
24,US,2,2022,29,U,true,JMC,SEPTEMBER,2023,Lecture 6
24,US,2,2022,29,U,true,PYC,APRIL,2022,Lecture 13
25,IN,5,2020,41,F,true,JMC,FEBRUARY,2020,Lecture 11
25,IN,5,2020,41,F,true,PYC,JANUARY,2021,Lecture 5
